unit_induk,kode_unit_pelaksana,nama_posisi,jenjang,jumlah_pegawai
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANDA ACEH,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANDAR LAMPUNG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANDUNG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANJARBARU,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL DENPASAR,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL DEPOK,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL JAKARTA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL JAYAPURA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL KANTOR PUSAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL KUPANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MAKASSAR,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MANADO,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MATARAM,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MEDAN,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PADANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PALEMBANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PANGKAL PINANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PEKANBARU,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PONTIANAK,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL SEMARANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL SURABAYA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL TANGERANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN KANTOR PUSAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN PUSAT PENUNJANG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN TERPUSAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UID & UIW-1,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UID & UIW-2,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UID & UIW-3,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UID 1,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UID 2,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UIP,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PEMBAYARAN UIT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID ACEH,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID BALI,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID BANTEN,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID JAKARTA RAYA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID JAWA BARAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID JAWA TENGAH DAN DIY,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID JAWA TIMUR,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID KALBAR,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID KALSELTENG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID KALTIMRA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID LAMPUNG,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID RIAU DAN KEPRI,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID SULSELRABAR,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID SULUTTENGGO,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID SUMATERA BARAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UID SUMATERA UTARA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIP3B KALIMANTAN,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIP3B SULAWESI,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIP3B SUMATERA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIT JBB,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIT JBT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIT JBTB,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIW MALUKU DAN MALUKU UTARA,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIW NTB,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIW NTT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGEMBANGAN TALENTA UIW PAPUA DAN PAPUA BARAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENGENAAN PAJAK KANTOR PUSAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PENYETORAN PAJAK,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER PERENCANA PENGADAAN,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER REGULASI EKSTERNAL,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER VERIFIKASI NON PURCHASE ORDER KANTOR PUSAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER VERIFIKASI PEMBELIAN TENAGA LISTRIK,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,ASSISTANT MANAGER VERIFIKASI PURCHASE ORDER KANTOR PUSAT,G3,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT AKUNTANSI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT ANEKA ENERGI BARU TERBARUKAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT ANGGARAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT AUDIT INVESTIGASI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT AUDIT KONSTRUKSI, PEMBANGKIT, DAN EBT",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT AUDIT NIAGA, TEKNOLOGI INFORMASI, DAN ENABLER",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT AUDIT TRANSMISI DAN DISTRIBUSI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT BANTUAN HUKUM,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT CUSTOMER EXPERIENCE DAN EXCELLENCE SERVICES,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT ENJINIRING DAN PERENCANAAN PENGADAAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT KEBIJAKAN STRATEGIS MANAJEMEN RISIKO,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT KEPATUHAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT KESELAMATAN DAN KESEHATAN KERJA, KEAMANAN, DANLINGKUNGAN",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT KEUANGAN KORPORAT,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT KOMUNIKASI KORPORAT DAN TJSL,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT KONSTRUKSI SUMATERA, KALIMANTAN DAN SULAWESI",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT KORPORASI DAN LEGAL BUSINESS PARTNER,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT LEGAL ASET PROPERTI DAN PERIZINAN TERINTEGRASI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT MANAJEMEN ASET, ENJINIRING DAN SISTEM MANAJEMEN TERINTEGRASI",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN DIGITAL,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN PORTOFOLIO,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN RANTAI PASOK,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN RISIKO FINANSIAL DAN ENABLER,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN RISIKO OPERASI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT MANAJEMEN RISIKO STRATEGIS, REGULASI DAN KEBIJAKAN",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN STAKEHOLDER DAN BOD SUPPORT,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT MANAJEMEN VALUASI ASET,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT NIAGA DAN PEMASARAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT OPERASI DISTRIBUSI JAWA, MADURA, DAN BALI",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT OPERASI DISTRIBUSI SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT OPERASI DISTRIBUSI SUMATERA DAN KALIMANTAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT OPERASI PEMBANGKITAN DAN INDEPENDENT POWER PRODUCER,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT OPERASI SISTEM KETENAGALISTRIKAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PANAS BUMI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PELAYANAN HUMAN CAPITAL,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGADAAN PEMBANGKIT DAN IPP,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT PENGADAAN TRANSMISI, GARDU INDUK, DAN MATERIAL TERPUSAT",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGEMBANGAN BISNIS KORPORAT DAN INVESTASI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGEMBANGAN LISTRIK DESA,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGEMBANGAN PRODUK NIAGA,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGEMBANGAN TALENTA,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT PENGEMBANGAN, PINJAMAN, DAN PERIZINAN PROYEK",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGENDALIAN KINERJA KORPORAT,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENGENDALIAN PEMBANGKITAN DAN INDEPENDENT POWER PRODUCER,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENJUALAN DAN PELAYANAN PELANGGAN ENTERPRISE,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PENJUALAN DAN PELAYANAN PELANGGAN RETAIL,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PERBENDAHARAAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PERENCANAAN SISTEM KETENAGALISTRIKAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PERENCANAAN STRATEGIS DISTRIBUSI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PERENCANAAN STRATEGIS KORPORAT,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PERENCANAAN STRATEGIS PEMBANGKITAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PERENCANAAN STRATEGIS TRANSMISI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT PROJECT MANAGEMENT OFFICE,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT REGULASI DAN KEBIJAKAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT SISTEM DAN TEKNOLOGI INFORMASI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT STRATEGI HUMAN CAPITAL,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT TRANSFORMASI KORPORAT DAN CEO OFFICE,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT TRANSISI ENERGI DAN KEBERLANJUTAN,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT TRANSMISI KALIMANTAN, SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"EXECUTIVE VICE PRESIDENT TRANSMISI SUMATERA, JAWA, MADURA, DAN BALI",MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,EXECUTIVE VICE PRESIDENT UMUM DAN ASET PROPERTI,MA,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"JUNIOR EXPERT COMMISIONING, PENGUJIAN DAN SERTIFIKASI",JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR EXPERT DESAIN MANUFAKTUR,JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"JUNIOR EXPERT MATERIAL, BOILER DAN TURBIN",JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR EXPERT OPERASI SISTEM,JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR EXPERT SCADA/TELEKOMUNIKASI,JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"JUNIOR EXPERT SCADA/TELEKOMUNIKASI, AUTOMASI DAN POLA OPERASI DISTRIBUSI",JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR EXPERT STANDAR DESAIN MESIN,JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR EXPERT TEKNIK SIPIL,JE,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER ADMINISTRASI MANAJEMEN DIGITAL,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER ADMINISTRASI STRATEGI HUMAN CAPITAL,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER DANA PENSIUN DAN JAMINAN SOSIAL,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER HUBUNGAN PEMERINTAHAN,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL BALIKPAPAN,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL BANJARBARU,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL DEPOK,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL KANTOR PUSAT,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL KUPANG,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL MAKASSAR,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PADANG,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PALEMBANG,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PEKANBARU,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PONTIANAK,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PEMBAYARAN UNIT,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PENGELOLAAN KENDARAAN,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PENYETORAN PAJAK,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER PRIVATE OFFICE,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,JUNIOR OFFICER VERIFIKASI ENERGI PRIMER,G1,1
PT PLN (PERSERO) KANTOR PUSAT,1001,KEPALA SATUAN DIGITAL DAN TEKNOLOGI INFORMASI,MAK,1
PT PLN (PERSERO) KANTOR PUSAT,1001,KEPALA SATUAN PENGAWASAN INTERN,MAK,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI AKUNTANSI PINJAMAN KANTOR PUSAT,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI DAN KONTROL INTERNAL,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI DAN MONITORING ADDITIONAL DEMAND,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI DAN PENGEMBANGAN SDM,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI KONTRAK,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI LOAN DAN PDP,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI LOGISTIK DAN KEPABEANAN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI PELAYANAN PELANGGAN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI PENGADAAN PEMBANGKIT DAN IPP,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER ADMINISTRASI PENGADAAN TRANSMISI, GARDU INDUK, DAN MATERIAL TERPUSAT",MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI PENGEMBANGAN PRODUK NIAGA,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER ADMINISTRASI PERIZINAN DAN PEMBEBASAN LAHAN JARINGAN JAWA, MADURA, BALI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER ADMINISTRASI PERIZINAN DAN PEMBEBASAN LAHAN JARINGAN SUMATERA,KALIMANTAN DAN SULAWESI",MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER ADMINISTRASI PERIZINAN DAN PEMBEBASAN LAHAN PEMBANGKIT JAWA, MADURA, BALI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER ADMINISTRASI PERIZINAN DAN PEMBEBASAN LAHAN PEMBANGKIT SUMATERA, KALIMANTAN DAN SULAWESI",MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ADMINISTRASI SEKRETARIAT PERUSAHAAN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AKUISISI PELANGGAN DAN GREEN ENERGY,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AKUNTANSI DAN SISTEM INFORMASI ASET,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AKUNTANSI TRANSAKSI KANTOR PUSAT 1,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AKUNTANSI TRANSAKSI KANTOR PUSAT 2,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANALISA DAN EVALUASI JABATAN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANALISIS DAN HARMONISASI MATERI,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANEKA ENERGI IPP,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANEKA ENERGI PLN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN DAN ADMINISTRASI KOMUNIKASI DAN TJSL,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN INVESTASI NIAGA,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN INVESTASI SARANA,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN OPERASI NIAGA,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN PEMBANGKITAN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN SARANA KANTOR PUSAT,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER ANGGARAN SARANA KORPORAT,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER APLIKASI DISTRIBUSI,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER APLIKASI MOBILE SUPPORT,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER APLIKASI PELAYANAN PELANGGAN MOBILE,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER APLIKASI PEMBANGKITAN,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER APLIKASI PROYEK,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER APLIKASI TRANSMISI,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT DATA ANALITIK DAN CONTINUOUS AUDIT 1,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT DATA ANALITIK DAN CONTINUOUS AUDIT 2,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT INVESTIGASI 1A,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT INVESTIGASI 1B,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT INVESTIGASI 2A,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT INVESTIGASI 2B,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT KEUANGAN KORPORASI 1,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT KEUANGAN KORPORASI 2,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT KEUANGAN KORPORASI 3,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT KEUANGAN KORPORASI 4,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,MANAGER AUDIT KEUANGAN KORPORASI 5,MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER AUDIT KONSTRUKSI, PEMBANGKITAN, DAN EBT 1A",MD,1
PT PLN (PERSERO) KANTOR PUSAT,1001,"MANAGER AUDIT KONSTRUKSI, PEMBANGKITAN, DAN EBT 1B",MD,1
